name	length	run_2785_s_1_withindex_sequence.txt_AATTCAT	run_2785_s_1_withindex_sequence.txt_AGGCGAA	run_2785_s_1_withindex_sequence.txt_CTGCAAT	run_2785_s_1_withindex_sequence.txt_GGAGTCC	run_2785_s_1_withindex_sequence.txt_GTAAAAA	run_2785_s_1_withindex_sequence.txt_TGGCATA
MTND6P16	520	0	0	2	0	1	0
MTND6P17	519	0	2	9	5	9	4
MTND6P18	513	10	5	9	4	7	6
MTND6P19	524	0	0	6	0	3	0
MTND6P20	418	0	4	1	0	5	0
MTND6P21	482	0	0	0	1	1	0
MTND6P22	521	16	11	15	1	12	0
MTND6P24	518	1	0	2	0	7	0
MTND6P2	524	0	0	2	0	7	0
MTND6P25	516	8	4	6	3	14	0
MTND6P32	483	2	0	3	5	3	1
MTND6P33	183	0	1	0	0	0	0
MTND6P3	542	3	1	4	1	3	0
MTND6P4	522	5	2	2	6	2	3
MTND6P5	512	4	0	2	3	3	1
MTND6P6	263	1	0	1	2	0	2
MTND6P7	524	3	2	3	0	4	0
MTND6P8	522	0	0	1	0	2	0
MTND6P9	519	2	5	14	6	10	0
MTNR1A	1289	0	2	9	0	8	0
MTNR1B	1956	2	4	22	4	33	0
MTO1	12071	102	87	98	95	98	98
MTOR	12119	701	474	154	575	143	481
MTOR-AS1	763	14	7	4	14	12	8
MTPAP	8382	123	110	67	124	55	132
MTPN	3775	203	116	48	138	49	94
MTR	11374	931	776	222	965	250	838
MTRF1	3841	88	67	43	108	33	87
MTRF1L	4273	38	42	22	35	27	27
MTRF1LP1	679	7	9	7	8	13	5
MTRF1LP2	1122	1	4	18	0	12	0
MT-RNR1	954	384351	126158	37215	490942	41627	201673
MT-RNR2	1559	40258	11010	6370	45901	6412	15141
MTRNR2L10	1530	0	2	8	2	4	0
MTRNR2L11	1552	1	3	2	2	5	0
MTRNR2L1	1553	4	0	6	555	9	211
MTRNR2L12	1049	4	2	3	4	4	4
MTRNR2L13	1445	0	2	7	3	4	0
MTRNR2L2	87	0	0	0	0	0	0
MTRNR2L3	1539	4	4	8	8	7	3
MTRNR2L4	1762	6	5	6	11	6	8
MTRNR2L5	739	0	0	0	0	2	0
MTRNR2L6	1447	0	2	4	2	3	0
MTRNR2L7	1535	0	1	6	2	4	1
MTRNR2L8	1303	5	3	4	5	6	1
MTRNR2L9	75	0	0	1	0	1	0
MTRR	6498	164	123	81	136	98	132
MTSS1	7727	324	251	160	944	163	794
MTSS1L	4999	34	29	21	53	12	41
MT-TA	69	0	0	0	0	0	0
MT-TC	66	2	2	3	2	2	1
MT-TD	68	2	2	3	4	0	2
MT-TE	69	0	0	2	1	1	1
MT-TF	71	48	31	72	106	67	25
MT-TG	68	42	36	209	216	140	2
MT-TH	69	7	8	9	28	21	1
MT-TI	69	1	3	4	3	2	0
MT-TK	70	0	0	0	0	0	0
MT-TL1	75	91	77	173	216	146	31
MT-TL2	71	17	15	29	50	19	2
MT-TM	68	7	3	22	22	18	5
MT-TN	73	0	0	0	0	0	0
MTTP	5398	52	45	54	27	38	5
MT-TP	68	19	14	30	38	42	9
MT-TQ	72	0	0	0	0	0	0
MT-TR	65	7	5	30	21	31	1
MT-TS1	69	0	0	0	0	0	0
MT-TS2	59	4	3	6	12	5	2
MT-TT	66	17	11	42	36	25	6
MT-TV	69	17	13	22	71	29	8
MT-TW	68	0	1	3	9	3	2
MT-TY	66	80	76	106	220	120	18
MTURN	6532	53	25	43	52	58	33
MTUS1	12010	1744	1526	674	2293	588	2438
MTUS2	8445	966	897	217	1368	200	1195
MTUS2-AS1	2567	184	137	36	231	34	224
MTUS2-AS2	1059	9	10	17	13	8	14
MTX1	3278	14	20	3	31	8	42
MTX1P1	838	1	0	0	0	3	0
MTX2	1717	32	30	21	54	12	31
MTX3	7916	142	101	61	144	52	143
MUC12	17130	2	4	31	2	48	0
MUC13	3499	2	6	18	8	30	2
MUC1	4717	3	1	2	1	2	0
MUC15	3356	5	14	29	10	18	1
MUC16	43830	23	39	132	21	196	1
MUC17	14579	4	20	51	5	71	0
MUC19	29490	21	74	246	66	270	3
MUC20	4249	111	118	12	43	12	33
MUC20P1	1680	79	61	1	2	0	1
MUC2	12667	3	4	7	1	12	0
MUC21	3793	0	1	8	1	11	0
MUC22	6019	7	10	7	6	10	2
MUC3A	11374	93	58	77	187	71	41
MUC4	21325	21	18	36	8	42	4
MUC5AC	17448	2	1	8	2	8	0
MUC5B	18598	8	3	5	3	9	3
MUC6	8428	11	11	14	6	34	4
MUC7	2798	5	13	25	4	28	0
MUCL1	1250	2	5	25	3	13	0
MUL1	2438	42	34	25	38	22	50
MUM1	9876	92	78	38	122	37	127
MUM1L1	4343	26	21	22	16	28	14
MUPP	566	1	1	0	1	2	1
MUS81	5476	68	53	17	72	18	55
MUSK	4246	16	11	35	14	38	6
MUSTN1	902	0	0	0	0	0	0
MUT	3749	113	85	74	154	67	132
MUTYH	3909	7	10	16	14	16	13
MVB12A	4053	19	18	16	35	9	18
MVB12B	7884	66	41	42	119	48	95
MVD	4717	46	29	4	25	6	15
MVK	6480	46	20	23	54	33	36
MVP	6141	28	20	16	41	21	27
MX1	8616	27	11	23	46	31	7
MX2	13047	40	27	51	66	70	27
MXD1	6351	69	41	38	72	41	45
MXD3	5154	9	5	3	8	5	8
MXD4	7058	71	59	19	118	28	108
MXI1	4607	299	257	101	326	106	270
MXRA5	9793	401	200	66	49	108	28
MXRA5Y	8000	0	3	0	4	0	2
MXRA7	9257	461	372	57	215	53	141
MXRA8	3622	20	12	6	11	0	10
MYADM	3675	462	282	47	293	49	215
MYADML2	2452	2	2	1	3	2	0
MYADML	2528	54	44	94	13	119	0
MYB	5493	5	13	46	17	52	0
MYB-AS1	449	0	0	0	0	3	0
MYBBP1A	6203	75	66	22	102	37	72
MYBL1	7239	26	31	22	33	16	20
MYBL2	2777	0	2	6	11	13	5
MYBPC1	7385	3	14	47	30	54	13
MYBPC2	3708	1	2	8	5	9	1
MYBPC3	4280	18570	18410	2592	27822	2667	20932
MYBPH	1805	0	0	2	4	2	2
MYBPHL	1789	17	11	8	13	14	4
MYC	3001	68	50	18	73	18	42
MYCBP2	15945	516	436	241	618	183	601
MYCBP2-AS1	4087	3	4	4	5	2	1
MYCBP2-AS2	428	1	3	2	0	0	1
MYCBP	3039	54	37	21	52	21	57
MYCBPAP	6515	3	8	28	10	33	2
MYCL	5063	2	8	13	3	19	1
MYCLP1	1075	1	1	4	3	9	1
MYCLP2	967	0	4	3	1	7	0
MYCN	2602	0	3	10	1	10	0
MYCNOS	2413	1	0	4	2	5	0
MYCNUT	1039	0	1	10	2	12	0
MYCT1	3030	18	17	21	37	25	10
MYD88	3989	30	19	13	27	16	22
MYDGF	1678	28	8	2	17	5	7
MYEF2	14067	80	70	64	82	61	105
MYEOV	3760	1	5	8	0	2	1
MYF5	1542	0	1	2	0	3	1
MYF6	1465	9	4	28	6	26	0
MYH10	9011	229	142	59	145	80	117
MYH11	16104	289	140	109	265	123	139
MYH13	6120	12	13	37	9	42	4
MYH14	9905	128	116	51	242	59	211
MYH15	7694	13	10	57	18	56	2
MYH1	6024	20	13	28	15	36	2
MYH16	6307	3	2	25	5	35	3
MYH2	6623	12	17	43	24	22	4
MYH3	6684	16	20	24	25	54	9
MYH4	6016	3	15	43	22	43	1
MYH6	6493	23474	14794	2466	7777	2419	2654
MYH7	6087	40133	25077	6728	54780	6367	32690
MYH7B	7931	1139	1083	208	2068	239	1776
MYH8	6041	8	8	46	21	41	0
MYH9	8959	3913	2988	127	1674	124	1029
MYHAS	2274	1	2	4	2	5	0
MYL10	1009	0	1	1	0	2	0
MYL1	1342	3	2	4	2	10	0
MYL12A	3245	1109	609	123	588	97	324
MYL12AP1	515	0	1	1	0	5	0
MYL12B	1761	167	91	28	102	33	48
MYL12BP1	507	0	1	2	2	2	2
MYL12BP2	512	1	0	0	0	3	1
MYL2	1362	18329	8998	2491	11569	2194	6098
MYL3	1360	2221	1319	473	3256	477	1764
MYL4	1636	110	38	14	586	26	167
MYL5	4305	34	20	10	52	12	32
MYL6	4609	1834	1276	248	1191	227	738
MYL6B	3259	13	6	15	11	19	10
MYL6BP1	615	3	2	3	1	2	0
MYL6P1	453	0	0	0	1	0	0
MYL6P2	434	44	31	2	7	2	7
MYL6P3	432	0	0	2	3	3	1
MYL6P4	453	0	0	1	0	1	0
MYL6P5	459	0	1	10	1	9	0
MYL7	1458	995	491	79	658	86	271
MYL8P	518	0	0	3	0	1	0
MYL9	2821	1105	727	136	707	148	447
MYLIP	3033	34	28	39	46	15	45
MYLK	22167	175	120	135	135	131	63
MYLK2	2976	2	1	12	0	8	1
MYLK3	9522	1720	1458	564	2205	496	2091
MYLK4	5806	12	17	36	27	41	19
MYLK-AS1	980	2	3	2	4	8	5
MYLK-AS2	827	2	1	4	0	4	0
MYLKP1	1580	0	3	10	7	15	2
MYLPF	1119	1	1	0	2	3	0
MYMK	1008	0	0	1	1	2	0
MYMX	843	1	0	2	0	7	0
MYNN	5730	23	29	25	34	21	38
MYO10	13963	30	40	98	63	133	40
MYO15A	19123	10	4	30	12	37	3
MYO15B	12761	48	32	15	72	20	45
MYO16	9209	46	48	60	40	53	35
MYO16-AS1	580	11	6	4	6	12	6
MYO16-AS2	436	1	2	5	0	5	2
MYO18A	15047	1012	1014	172	1391	192	1120
MYO18B	9706	3652	3296	182	2123	187	1771
MYO19	13075	146	105	52	162	52	114
MYO1A	4438	3	1	21	2	30	1
MYO1B	9533	65	44	59	92	58	69
MYO1C	8152	442	285	60	377	42	225
MYO1D	8188	166	114	37	54	35	26
MYO1E	9106	221	184	48	129	70	116
MYO1F	8550	22	28	24	29	24	14
MYO1G	8653	11	12	12	20	14	8
MYO1H	4792	22	29	27	16	32	13
MYO3A	8188	8	8	49	16	43	1
MYO3B	8236	6	12	41	12	56	2
MYO5A	12988	405	336	147	428	155	418
MYO5B	10488	41	36	61	69	63	68
MYO5BP1	1239	0	2	9	1	6	0
MYO5BP2	1277	0	0	1	0	0	0
MYO5BP3	1279	2	5	13	8	25	0
MYO5C	10045	24	21	47	35	51	20
MYO6	8785	199	141	80	165	72	155
MYO7A	10145	17	20	16	93	24	69
MYO7B	8800	25	19	19	15	29	3
MYO9A	20253	456	379	179	556	167	497
MYO9B	9948	203	172	39	216	40	170
MYOC	2099	1	3	19	10	21	2
MYOCD	8875	1769	1562	212	760	198	537
MYOCOS	2645	1	3	6	1	15	0
MYOD1	1801	1	0	0	0	2	2
MYOF	8473	604	530	211	651	260	698
MYOG	1528	2	0	1	0	1	2
MYOM1	6574	8621	7483	899	5616	811	4863
MYOM2	7062	899	852	792	3187	802	2828
MYOM3	9254	855	672	201	1784	145	1318
MYOSLID	1204	2	0	2	0	3	0
MYOT	2893	256	199	22	56	23	66
MYOZ1	1541	6	8	14	8	16	6
MYOZ2	2597	1319	913	283	937	230	851
MYOZ3	6037	20	23	10	20	18	10
MYPN	7060	5778	5099	333	2867	321	2471
MYPOP	1890	9	10	2	4	3	7
MYRF	10680	10	12	22	7	27	7
MYRFL	3524	12	10	36	77	42	62
MYRIP	5872	24	37	29	51	48	66
MYSM1	8938	810	671	232	655	191	751
MYT1	6265	6	5	18	5	25	0
MYT1L	13081	12	5	55	11	62	2
MYT1L-AS1	3244	7	9	25	8	27	1
MYZAP	2561	61	41	77	122	50	100
MZB1	2273	4	6	2	18	10	11
MZF1	6691	218	188	56	305	51	238
MZF1-AS1	2968	34	22	41	28	34	22
MZT1	2299	1	1	3	7	4	2
MZT1P1	246	2	0	0	0	2	2
MZT1P2	248	0	0	0	0	3	0
MZT2A	4093	18	27	16	75	15	73
MZT2B	1815	32	10	7	37	8	17
N4BP1	7839	158	168	71	185	63	229
N4BP2	9835	88	70	70	130	50	119
N4BP2L1	6053	19	12	27	31	33	10
N4BP2L2	16960	1987	1858	570	2198	433	2492
N4BP2L2-IT2	4890	540	497	184	553	128	737
N4BP3	6080	11	4	9	20	20	18
N6AMT1	4865	46	37	46	78	43	85
NAA10	4742	113	98	14	53	27	34
NAA11	2701	5	6	29	9	40	1
NAA15	9712	160	140	63	155	67	114
NAA16	5867	134	116	67	134	46	144
NAA20	2376	26	22	19	17	31	19
NAA25	10128	231	241	80	233	66	251
NAA30	7653	49	26	37	54	43	51
NAA35	3641	81	89	53	88	33	80
NAA38	1943	26	6	0	22	2	8
NAA40	5321	185	184	64	242	50	198
NAA50	6436	150	83	55	99	46	89
NAA60	5639	49	52	34	95	32	92
NAAA	4459	16	8	18	25	20	26
NAALAD2	7254	14	6	36	16	30	9
NAALADL1	4044	2	1	3	1	9	1
NAALADL2	13592	31	41	61	42	44	19
NAALADL2-AS1	804	0	1	10	2	4	0
NAALADL2-AS2	1038	0	2	5	1	1	1
NAALADL2-AS3	422	0	0	2	0	2	0
NAB1	4887	47	38	21	46	16	42
NAB2	3010	16	12	7	14	6	12
NABP1	13806	61	56	87	75	90	36
NABP2	2218	19	9	18	21	9	15
NACA	10008	2230	2083	489	2319	399	1962
NACA2	777	1	1	10	3	8	0
NACA3P	648	1	2	4	5	5	5
NACAD	4917	20	16	6	26	3	16
NACAP1	1555	2	2	12	4	17	1
NACAP2	624	0	1	1	0	1	0
NACAP3	481	3	1	5	3	5	6
NACAP5	636	0	0	6	2	6	0
NACAP6	622	0	0	3	0	6	0
NACAP7	609	0	0	0	1	1	0
NACC1	4474	49	35	4	38	7	16
NACC2	7212	199	144	31	160	23	119
NADK2	4885	50	36	42	94	39	73
NADK2-AS1	720	7	13	7	7	18	29
NADK	5570	46	41	10	38	18	32
NADSYN1	16263	280	250	67	170	85	117
NAE1	4810	59	38	20	51	10	46
NAF1	4808	18	18	31	43	28	24
NAGA	3706	27	12	9	26	29	20
NAGK	8894	118	102	41	80	34	52
NAGLU	3004	11	6	6	11	10	8
NAGPA	5484	11	14	26	27	21	21
NAGPA-AS1	2630	0	1	4	2	12	2
NAGS	2822	2	1	1	2	1	1
NAIF1	3621	8	12	11	15	14	11
NAIP	9513	0	0	1	3	2	0
NALCN	8951	87	86	102	220	99	228
NALCN-AS1	2846	2	7	37	11	43	11
NALT1	1088	1	1	0	0	0	0
NAMA	5073	3	7	30	4	33	2
NAMPT	9049	312	243	73	480	44	299
NAMPTP1	2514	0	1	3	12	6	7
NAMPTP2	1115	0	1	3	1	2	0
NAMPTP3	224	0	0	2	0	0	0
NANOG	5393	4	6	24	7	37	0
NANOGNB	996	2	3	18	3	18	0
NANOGNBP1	480	6	0	12	0	7	1
NANOGNBP2	553	2	6	11	3	5	1
NANOGP10	895	0	4	4	0	0	0
NANOGP1	2032	0	1	8	0	11	0
NANOGP2	727	1	1	6	4	1	1
NANOGP3	286	0	3	5	1	3	0
NANOGP4	913	99	77	31	108	25	121
NANOGP5	877	23	14	5	15	4	22
NANOGP6	847	0	0	5	1	7	1
NANOGP7	918	2	2	4	0	3	0
NANOGP8	918	1	1	1	3	1	3
NANOGP9	892	0	2	6	0	8	0
NANOS1	4017	34	22	13	22	15	25
NANOS2	1657	0	1	3	1	5	0
NANOS3	988	0	0	2	1	2	0
NANP	3964	35	15	12	27	17	24
NANS	4922	38	29	19	27	25	18
NAP1L1	17355	388	255	142	485	166	392
NAP1L1P1	1063	2	1	9	2	4	0
NAP1L1P2	1089	0	0	0	4	0	4
NAP1L1P3	880	2	3	15	2	11	0
NAP1L2	2550	12	9	38	14	50	9
NAP1L3	2639	8	14	32	7	21	0
NAP1L4	5200	502	357	133	422	107	328
NAP1L4P1	1157	46	25	6	35	14	31
NAP1L4P2	899	3	3	7	1	9	0
NAP1L4P3	1147	7	5	16	1	9	2
NAP1L5	2321	76	60	32	63	26	82
NAP1L6	2044	7	6	21	5	27	0
NAPA	5839	49	42	19	75	21	46
NAPA-AS1	1894	1	0	1	2	1	1
NAPB	5234	75	58	32	80	41	77
NAPEPLD	7561	34	35	45	63	44	58
NAPG	5586	236	173	64	196	54	214
NAPGP1	719	0	1	3	1	2	0
NAPRT	3079	3	2	1	1	2	3
NAPSA	3581	11	4	9	5	10	3
NAPSB	1915	5	2	15	3	13	3
NARF	7962	157	136	57	226	46	161
NARF-IT1	769	1	1	2	0	1	0
NARFL	8101	47	27	15	38	12	42
NARS2	3153	15	19	27	31	16	12
NARS	4089	273	157	49	221	63	210
NARSP2	983	0	2	1	4	9	0
NASP	8304	418	354	105	350	102	292
NAT10	5242	162	125	68	126	79	123
NAT1	3168	8	10	16	13	16	11
NAT14	2163	5	6	1	0	4	2
NAT16	3871	0	1	6	2	6	0
NAT2	1322	2	0	7	0	7	2
NAT6	2188	5	8	3	12	4	13
NAT8	947	1	1	2	1	4	0
NAT8B	765	2	0	1	0	10	0
NAT8L	5871	3	2	2	1	6	2
NAT9	4049	69	62	22	49	22	32
NATD1	4931	33	34	17	42	22	39
NATP	878	0	1	4	0	1	0
NAV1	22453	3290	3337	537	3007	485	3153
NAV2	14535	1528	1410	276	717	268	632
NAV2-AS1	660	0	0	0	0	0	0
NAV2-AS2	782	0	0	1	3	1	3
NAV2-AS3	598	22	15	10	7	4	10
NAV2-AS4	1181	1	1	5	2	7	0
NAV2-AS5	3510	11	8	15	15	19	5
NAV2-IT1	506	5	2	2	4	9	1
NAV3	12135	317	236	168	299	151	290
NAXD	2847	141	172	42	169	48	143
NAXE	1933	85	61	15	96	19	58
NBAS	8948	309	291	176	506	144	608
NBAT1	1940	2	8	4	6	12	3
NBDY	1707	32	13	12	23	14	16
NBEA	11949	1070	1117	349	1527	261	1886
NBEAL1	16376	578	498	169	465	172	508
NBEAL2	9819	118	84	17	81	19	34
NBEAP1	3689	5	7	39	13	25	6
NBEAP3	1493	0	0	0	0	0	0
NBL1	3465	12	4	4	16	3	14
NBN	6156	133	101	65	175	39	182
NBPF10	13249	5	5	1	3	3	2
NBPF1	12212	148	121	117	139	130	111
NBPF11	5947	20	6	5	17	12	16
NBPF12	7272	37	34	13	35	14	36
NBPF13P	1783	1	6	8	3	13	2
NBPF14	12116	11	12	5	12	8	18
NBPF15	5306	19	24	14	35	11	21
NBPF17P	2119	3	8	14	6	22	2
NBPF19	18785	9	6	4	7	7	5
NBPF20	18995	1	3	5	1	2	0
NBPF21P	1451	5	4	13	4	12	1
NBPF22P	1603	0	3	8	3	8	0
NBPF25P	3827	4	5	21	5	19	1
NBPF26	6032	1	4	7	32	10	30
NBPF2P	661	0	0	2	0	0	0
NBPF3	6812	20	9	33	55	33	49
NBPF4	2586	0	1	2	0	2	0
NBPF5P	1606	0	0	0	0	1	0
NBPF6	2586	1	1	1	0	2	0
NBPF7	1326	2	1	20	7	18	1
NBPF8	5330	40	29	9	23	5	19
NBPF9	9046	16	17	13	25	13	14
NBR1	8405	256	177	66	169	85	136
NBR2	2096	27	13	8	22	10	13
NCALD	8042	21	20	61	52	47	25
NCAM1	12737	4834	4264	681	3045	628	3024
NCAM1-AS1	1198	35	33	4	24	6	24
NCAM2	8380	5	9	27	21	20	1
NCAN	6905	3	1	8	5	7	0
NCAPD2	6487	69	32	38	68	44	50
NCAPD2P1	1801	2	5	8	3	17	1
NCAPD3	9114	90	89	58	55	74	75
NCAPG2	6988	26	16	37	22	47	10
NCAPG	4921	3	5	20	9	11	4
NCAPGP1	1814	1	1	12	3	17	0
NCAPGP2	754	0	0	1	1	0	0
NCAPH2	3159	20	12	8	20	4	12
NCAPH	3278	4	5	12	6	13	2
NCBP1	5548	239	202	106	285	67	283
NCBP2	5114	72	44	34	79	32	63
NCBP2-AS1	562	5	0	1	0	1	0
NCBP2-AS2	918	8	5	2	11	1	3
NCBP2L	2079	0	2	9	0	13	0
NCBP3	14718	343	278	98	296	115	249
NCCRP1	1978	0	0	5	0	6	0
NCDN	4917	93	53	38	81	41	81
NCEH1	4808	99	108	114	244	78	284
NCF1	3462	0	1	0	1	3	0
NCF1B	1902	2	0	1	0	0	0
NCF1C	1427	0	0	1	0	0	0
NCF2	2928	45	23	29	72	42	52
NCF4	1759	9	9	3	13	2	8
NCF4-AS1	1218	1	0	1	2	4	0
NCK1	3727	34	22	20	29	30	26
NCK1-AS1	1429	9	4	10	9	12	3
NCK2	2990	23	19	14	22	15	23
NCKAP1	22520	557	442	260	517	222	484
NCKAP1L	10596	69	33	75	61	98	37
NCKAP5	9552	723	678	80	661	88	747
NCKAP5-IT1	554	59	59	14	45	6	58
NCKAP5L	8090	136	120	18	134	33	121
NCKIPSD	3431	29	29	9	58	15	40
NCL	6929	1577	785	257	1198	232	727
NCLN	4175	27	16	8	31	7	11
NCLP1	1963	27	30	16	36	11	17
NCLP2	1462	10	7	26	2	18	0
NCMAP	4122	2	4	25	4	12	0
NCOA1	8633	455	387	229	631	185	490
NCOA2	10026	481	364	198	576	181	650
NCOA3	8402	531	424	152	534	141	495
NCOA4	4079	456	276	148	486	131	354
NCOA4P2	1813	2	7	15	7	19	0
NCOA4P3	1877	0	7	9	3	14	2
NCOA4P4	1861	0	0	7	0	9	0
NCOA5	3220	129	130	44	141	51	120
NCOA6	11131	655	606	163	862	153	715
NCOA7	7820	48	54	56	85	59	32
NCOA7-AS1	501	0	1	5	3	2	2
NCOR1	15404	1155	920	353	1179	313	1021
NCOR1P1	406	0	1	3	1	5	0
NCOR1P3	303	0	2	9	2	14	0
NCOR2	13975	506	343	69	500	87	322
NCR1	1893	2	0	11	0	6	2
NCR2	1219	1	4	6	0	8	0
NCR3	1212	0	0	4	0	5	0
NCR3LG1	6438	57	42	36	44	54	27
NCRNA00250	519	0	1	3	6	13	0
NCRUPAR_1	133	1	0	1	1	1	0
NCRUPAR_2	99	0	0	1	0	0	0
NCS1	5289	15	20	8	10	13	4
NCSTN	4175	111	78	32	98	50	81
NCSTNP1	144	0	0	0	0	0	0
NDC1	5135	15	8	12	27	16	12
NDC80	3600	1	3	36	11	29	1
NDE1	5512	30	18	28	26	31	17
NDE1P2	1105	2	2	12	1	4	0
NDEL1	7955	231	225	78	301	83	249
NDFIP1	6024	115	66	58	95	45	84
NDFIP1P1	525	0	2	0	0	1	0
NDFIP2	4831	50	40	28	65	17	67
NDFIP2-AS1	431	0	0	0	0	3	0
NDN	1931	33	20	26	44	15	26
NDNF	3556	7	7	22	7	38	8
NDOR1	2836	16	24	1	10	7	12
NDP	1833	0	1	6	0	5	0
NDP-AS1	737	2	0	8	1	5	0
NDRG1	9823	138	89	74	179	77	113
NDRG2	7550	1077	656	221	977	245	668
NDRG3	3248	294	227	67	309	67	334
NDRG4	9647	1713	1275	438	1859	416	1482
NDST1	9529	231	229	46	255	47	182
NDST1-AS1	368	0	0	0	0	0	0
NDST2	4654	2	2	1	2	3	1
NDST3	7009	3	7	29	10	26	1
NDST4	3719	1	7	22	9	23	1
NDUFA10	9517	1001	805	288	1172	293	1119
NDUFA11	4839	99	74	15	71	19	57
NDUFA12	1815	415	205	88	307	95	184
NDUFA12P1	406	1	3	11	3	8	0
NDUFA13	2708	219	88	61	198	55	100
NDUFA1	766	321	144	175	457	102	174
NDUFA2	1488	24	4	4	21	9	5
NDUFA3	2475	137	87	70	257	45	140
NDUFA3P1	252	0	1	2	4	0	0
NDUFA3P2	232	3	1	1	3	0	3
NDUFA3P3	250	0	0	0	0	0	0
NDUFA3P4	250	4	3	5	3	5	0
NDUFA3P6	250	0	0	0	0	1	0
NDUFA4	3556	262	113	125	279	100	170
NDUFA4L2	2806	58	28	29	33	28	26
NDUFA4P2	244	0	0	2	0	0	0
NDUFA5	9851	303	273	343	502	263	579
NDUFA5P10	357	0	0	1	1	2	0
NDUFA5P11	343	7	5	3	3	3	3
NDUFA5P12	343	0	0	2	0	2	0
NDUFA5P1	341	0	0	0	0	0	0
NDUFA5P2	344	0	3	4	8	4	15
NDUFA5P3	345	1	1	4	1	0	0
NDUFA5P4	385	0	0	0	1	0	0
NDUFA5P5	342	0	0	1	1	0	0
NDUFA5P6	379	0	0	3	0	1	0
NDUFA5P7	242	0	0	1	0	0	0
NDUFA5P8	346	0	0	0	0	0	0
NDUFA5P9	340	2	0	8	0	3	3
NDUFA6	1416	383	179	116	313	111	165
NDUFA6-AS1	5206	23	9	14	30	19	24
NDUFA7	1413	5	4	4	7	2	0
NDUFA8	844	105	51	26	104	36	48
NDUFA8P1	367	2	3	3	2	1	4
NDUFA9	10391	93	77	80	133	65	108
NDUFA9P1	1135	7	8	5	16	9	3
NDUFAB1	1600	115	71	55	114	49	68
NDUFAB1P1	460	4	3	3	2	0	3
NDUFAF1	1790	30	16	16	33	19	27
NDUFAF2	1017	27	18	17	25	16	18
NDUFAF3	2434	45	30	14	41	21	26
NDUFAF4	2540	48	37	16	24	17	22
NDUFAF4P1	519	3	4	2	0	3	4
NDUFAF4P2	520	1	0	7	3	8	0
NDUFAF4P3	525	2	2	3	10	2	1
NDUFAF4P4	502	32	24	4	51	8	66
NDUFAF5	7217	250	181	111	253	98	222
NDUFAF6	6406	44	29	50	53	42	43
NDUFAF7	3651	93	47	30	92	34	75
NDUFAF8	1376	91	55	24	60	13	55
NDUFB10	1070	88	30	15	111	16	62
NDUFB10P1	521	0	0	1	0	2	0
NDUFB10P2	478	16	17	21	63	16	69
NDUFB11	1418	78	38	22	94	23	47
NDUFB11P1	465	0	2	4	2	3	0
NDUFB1	2263	270	169	154	403	107	167
NDUFB1P1	180	0	0	2	1	2	0
NDUFB1P2	176	0	1	3	1	1	4
NDUFB2	4447	351	185	115	389	99	217
NDUFB2-AS1	1648	0	3	1	3	0	0
NDUFB2P1	295	0	0	0	0	1	0
NDUFB3	1103	24	9	13	44	10	12
NDUFB4	1889	66	42	35	89	25	77
NDUFB4P10	359	0	1	2	1	0	0
NDUFB4P11	2285	0	1	4	1	8	0
NDUFB4P12	390	0	1	1	0	0	0
NDUFB4P1	381	0	0	1	0	2	0
NDUFB4P2	391	0	0	6	0	0	0
NDUFB4P3	390	1	1	1	1	4	3
NDUFB4P4	243	0	0	2	0	1	0
NDUFB4P5	361	0	0	0	0	0	0
NDUFB4P6	366	1	0	3	3	2	6
NDUFB4P7	363	0	0	0	0	0	0
NDUFB4P8	367	2	1	1	1	1	0
NDUFB4P9	388	0	2	1	0	1	0
NDUFB5	5871	99	75	81	169	72	152
NDUFB5P1	564	0	1	2	0	5	0
NDUFB5P2	566	0	0	2	0	0	0
NDUFB6	1388	55	39	25	43	19	28
NDUFB7	531	37	27	12	43	8	37
NDUFB8	1999	211	140	64	286	60	213
NDUFB9	2629	219	103	76	332	76	175
NDUFB9P1	510	6	8	10	8	7	3
NDUFB9P2	507	1	2	3	1	2	0
NDUFB9P3	501	1	1	7	4	4	0
NDUFC1	1941	40	35	32	73	28	56
NDUFC2	2652	51	39	22	55	15	31
NDUFC2-KCTD14	826	0	0	0	0	0	0
NDUFS1	12268	455	309	210	771	176	672
NDUFS2	3658	377	266	123	561	112	374
NDUFS3	3670	183	94	81	181	58	132
NDUFS4	1176	179	118	69	210	53	155
NDUFS5	548	424	169	115	405	100	155
NDUFS5P1	289	0	1	1	0	2	0
NDUFS5P2	306	0	0	4	0	5	0
NDUFS5P3	321	1	0	2	0	1	0
NDUFS5P4	318	0	1	4	0	0	0
NDUFS5P5	321	0	0	3	0	3	0
NDUFS5P6	295	0	1	3	0	1	0
NDUFS6	1451	349	175	125	404	109	220
NDUFS6P1	316	1	3	4	2	11	0
NDUFS7	7533	54	34	15	83	12	63
NDUFS8	4523	73	72	43	197	41	154
NDUFV1	4154	338	223	108	450	93	271
NDUFV2	2711	21	15	6	12	6	14
NDUFV2-AS1	1432	8	8	6	10	13	5
NDUFV2P1	907	4	2	2	2	5	3
NDUFV3	6345	386	256	112	487	113	330
NEAT1_1	120	0	0	0	0	0	0
NEAT1_2	105	0	0	0	0	0	0
NEAT1	22767	392358	336904	12987	216200	13764	197400
NEAT1_3	159	0	0	0	0	0	0
NEB	30567	495	387	402	862	402	688
