Geneid	HS18	HS19
ENSG00000064102	400	482
ENSG00000064115	693	1159
ENSG00000064195	1	10
ENSG00000064199	25	27
ENSG00000064201	293	582
ENSG00000064205	480	1896
ENSG00000064218	1	0
ENSG00000064225	1003	777
ENSG00000064270	8	33
ENSG00000064300	704	509
ENSG00000064309	528	2280
ENSG00000064313	890	1381
ENSG00000064393	15160	13882
ENSG00000064419	1356	1794
ENSG00000064489	3	5
ENSG00000064490	196	332
ENSG00000064545	465	463
ENSG00000064547	25	46
ENSG00000064601	1334	1755
ENSG00000064607	2911	3354
ENSG00000064651	1181	1033
ENSG00000064652	191	300
ENSG00000064655	69	296
ENSG00000064666	775	1233
ENSG00000064687	169	347
ENSG00000064692	135	324
ENSG00000064703	376	544
ENSG00000064726	2999	2905
ENSG00000064763	457	687
ENSG00000064787	3	14
ENSG00000064835	1	1
ENSG00000064886	18	181
ENSG00000064932	26	39
ENSG00000064933	347	538
ENSG00000064961	378	527
ENSG00000064989	826	2077
ENSG00000064995	794	1169
ENSG00000064999	2842	3425
ENSG00000065000	3244	3803
ENSG00000065029	1119	1491
ENSG00000065054	1835	2823
ENSG00000065057	156	306
ENSG00000065060	2003	2333
ENSG00000065135	770	1279
ENSG00000065150	3850	4718
ENSG00000065154	865	1376
ENSG00000065183	513	791
ENSG00000065243	1605	2339
ENSG00000065268	278	584
ENSG00000065308	1142	1392
ENSG00000065320	3953	5728
ENSG00000065325	27	97
ENSG00000065328	13	3
ENSG00000065357	336	548
ENSG00000065361	332	877
ENSG00000065371	0	10
ENSG00000065413	461	1448
ENSG00000065427	1755	2460
ENSG00000065457	367	447
ENSG00000065485	215	353
ENSG00000065491	327	384
ENSG00000065518	2147	2647
ENSG00000065526	4272	5985
ENSG00000065534	1088	2553
ENSG00000065548	852	1118
ENSG00000065559	931	1274
ENSG00000065600	116	136
ENSG00000065609	1	18
ENSG00000065613	3274	3976
ENSG00000065615	213	504
ENSG00000065618	29	59
ENSG00000065621	284	266
