Geneid	HS20	HS21
ENSG00000062822	155	205
ENSG00000063015	66	100
ENSG00000063046	8032	9919
ENSG00000063127	177	212
ENSG00000063169	257	339
ENSG00000063176	258	345
ENSG00000063177	2803	3598
ENSG00000063180	77	216
ENSG00000063241	697	705
ENSG00000063244	1396	1742
ENSG00000063245	2317	2678
ENSG00000063322	712	934
ENSG00000063438	4	25
ENSG00000063515	1	0
ENSG00000063587	653	566
ENSG00000063601	671	759
ENSG00000063660	2567	2444
ENSG00000063761	275	297
ENSG00000063854	1712	1521
ENSG00000063978	811	1046
ENSG00000064012	194	192
ENSG00000064042	8400	9943
ENSG00000064102	386	461
ENSG00000064115	749	904
ENSG00000064195	4	9
ENSG00000064199	29	21
ENSG00000064201	339	581
ENSG00000064205	2017	1685
ENSG00000064218	0	0
ENSG00000064225	902	858
ENSG00000064270	23	19
ENSG00000064300	457	661
ENSG00000064309	622	1687
ENSG00000064313	916	1069
ENSG00000064393	13071	13264
ENSG00000064419	1358	1575
ENSG00000064489	2	5
ENSG00000064490	227	294
ENSG00000064545	464	394
ENSG00000064547	16	21
ENSG00000064601	1517	1404
ENSG00000064607	2809	3159
ENSG00000064651	944	911
ENSG00000064652	213	226
ENSG00000064655	145	149
ENSG00000064666	1092	1010
ENSG00000064687	178	252
ENSG00000064692	177	233
ENSG00000064703	415	506
ENSG00000064726	3515	3177
ENSG00000064763	525	756
ENSG00000064787	7	7
ENSG00000064835	1	3
ENSG00000064886	42	93
ENSG00000064932	20	46
ENSG00000064933	378	466
ENSG00000064961	406	440
ENSG00000064989	1070	1225
ENSG00000064995	687	957
ENSG00000064999	2371	2953
ENSG00000065000	3330	4177
ENSG00000065029	1074	1286
ENSG00000065054	1799	2465
ENSG00000065057	202	327
ENSG00000065060	2046	2290
ENSG00000065135	924	1011
ENSG00000065150	4044	3970
ENSG00000065154	1109	1075
ENSG00000065183	635	710
ENSG00000065243	1688	2051
ENSG00000065268	236	453
ENSG00000065308	1037	1249
ENSG00000065320	3623	8047
ENSG00000065325	30	35
ENSG00000065328	14	3
ENSG00000065357	312	450
ENSG00000065361	526	838
ENSG00000065371	3	15
ENSG00000065413	669	900
ENSG00000065427	1749	2309
ENSG00000065457	463	487
ENSG00000065485	241	317
ENSG00000065491	312	387
ENSG00000065518	1935	2744
ENSG00000065526	4389	4962
ENSG00000065534	1956	3474
ENSG00000065548	1071	1030
ENSG00000065559	1014	1076
ENSG00000065600	97	142
ENSG00000065609	0	3
ENSG00000065613	3184	3749
ENSG00000065615	411	429
ENSG00000065618	33	44
ENSG00000065621	257	255
ENSG00000065665	331	414
ENSG00000065675	15	33
ENSG00000065717	1315	1794
ENSG00000065802	2251	2739
ENSG00000065809	262	275
ENSG00000065833	1017	1272
ENSG00000065882	3152	4414
ENSG00000065883	2322	3143
ENSG00000065911	300	387
ENSG00000065923	571	1153
ENSG00000065970	1293	1422
ENSG00000065978	7094	9125
ENSG00000065989	312	331
ENSG00000066027	1811	1752
ENSG00000066032	10	7
ENSG00000066044	845	1062
ENSG00000066056	1676	1684
ENSG00000066084	1615	1789
ENSG00000066117	633	731
